# View: fund_xray_header
# Question: How has this fund done, and against what?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:58.142094+00:00
window_key,obs_days,return_ann,return_cum,volatility_ann,max_dd,confidence,sharpe,sortino,risk_free_pct,bench_return_ann,beta,tracking_error,alpha_ann,up_capture,down_capture,interpolated_pct
1y,365,0.029818,0.029818,0.032846,-0.021130,medium,-0.759027,-1.093801,5.4749,,,,,,,0.000000
3y,1096,0.066290,0.212557,0.039233,-0.041071,high,-0.057554,-0.080304,6.8548,,,,,,,0.000000
5y,1824,0.096371,0.583716,0.070953,-0.041246,high,0.886953,2.262683,3.3439,,,,,,,0.000000
since_first_nav,5002,0.081260,1.917307,0.056592,-0.153727,high,0.011592,0.020162,8.0604,,,,,,,0.000000
