# View: fund_header
# Question: What is this fund, and how has it done?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:31.607662+00:00
key,label,value
return_1y,"Return, 1 year",0.143708
return_3y,"Return, 3 years",0.189588
return_5y,"Return, 5 years",0.138445
rank_3y,"Category rank, 3 years",23rd of 101
worst_fall,Worst fall,-0.202950
volatility,Volatility,0.141570
fund_size,Fund size,10552577000.00
ter,Expense ratio,1.2100
