# View: fund_header
# Question: What is this fund, and how has it done?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:13.594334+00:00
key,label,value
return_1y,"Return, 1 year",0.055119
return_3y,"Return, 3 years",0.171278
return_5y,"Return, 5 years",0.112746
rank_3y,"Category rank, 3 years",16th of 142
worst_fall,Worst fall,-0.410878
volatility,Volatility,0.184302
fund_size,Fund size,90114243000.00
ter,Expense ratio,0.3800
