# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 31 Aug 2026 (26 days old)
# Coverage: — of portfolio value | Unresolved: 1.0% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - This portfolio comes from Groww's page for the fund, an aggregator, not from the fund house's own file. The page carries no ISINs, so more of it is unresolved than the fund house's file would leave.
# Generated: 2026-09-26T10:33:39.435814+00:00
holding,kind,weight_pct
Government Securities,Bonds and other debt,86.811483
Net Receivables / Payables,Cash and equivalents,10.874873
Cash & Bank Balance,Cash and equivalents,1.353895
Unresolved Holdings,Bonds and other debt,0.959749
