# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 31 Aug 2026 (26 days old)
# Coverage: — of portfolio value | Unresolved: 12.9% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 12.9% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
#   - This portfolio comes from Groww's page for the fund, an aggregator, not from the fund house's own file. The page carries no ISINs, so more of it is unresolved than the fund house's file would leave.
#   - Sectors are as the fund house labels them; two fund houses may name the same sector differently.
# Generated: 2026-09-26T10:33:41.130264+00:00
holding,kind,weight_pct
Unresolved Holdings,Shares,12.908670
HDFC Bank Ltd.,Shares,9.851390
ICICI Bank Ltd.,Shares,9.451164
Reliance Industries Ltd,Shares,7.827837
Bharti Airtel  Ltd.,Shares,4.999368
Larsen & Toubro Limited,Shares,4.295783
State Bank Of India,Shares,3.975603
Infosys Ltd,Shares,3.608437
AXIS Bank Ltd.,Shares,3.387648
Mahindra & Mahindra Ltd.,Shares,2.658688
Bajaj Finance Limited,Shares,2.570574
ITC Ltd,Shares,2.234794
Tata Consultancy Services Ltd.,Shares,2.222713
Sun Pharmaceutical Industries Ltd.,Shares,1.906983
Maruti Suzuki India  Ltd.,Shares,1.603615
Hindustan Unilever Ltd.,Shares,1.583759
TATA STEEL LIMITED,Shares,1.382699
Bharat Electronics Ltd.,Shares,1.346932
Hindalco Industries Ltd.,Shares,1.334085
HCL Technologies Ltd,Shares,1.255279
UltraTech Cement Ltd,Shares,1.229498
Bajaj Auto Limited,Shares,1.219007
Grasim Industries Ltd,Shares,1.154105
JSW Steel Limited,Shares,1.112937
Asian Paints Ltd.,Shares,1.088882
POWER GRID CORPORATION OF INDIA LIMITED,Shares,1.082948
InterGlobe Aviation Limited,Shares,1.074978
Adani Ports and Special Economic Zone Ltd,Shares,1.066417
Bajaj Finserv Limited,Shares,1.061618
Eicher Motors Ltd.,Shares,0.994543
Nestle India Ltd.,Shares,0.973620
Coal India Limited,Shares,0.873173
Oil And Natural Gas Corporation Ltd,Shares,0.817015
Adani Enterprises Ltd.,Shares,0.748632
Cipla Ltd.,Shares,0.719487
Jio Financial Services Limited,Shares,0.718536
SBI Life Insurance Company Limited,Shares,0.709607
Max Healthcare Institute Limited,Shares,0.703721
Dr. Reddy's Laboratories Ltd.,Shares,0.638518
TATA CONSUMER PRODUCTS LIMITED,Shares,0.613057
HDFC LIFE INSURANCE COMPANY LIMITED,Shares,0.530363
Wipro  Ltd.,Shares,0.453379
Cash & Bank Balance,Cash and equivalents,0.278237
Net Receivables / Payables,Cash and equivalents,-0.268299
