# View: fund_returns
# Question: How much has it returned, against its benchmark?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:09.340413+00:00
period,fund_return,benchmark_return,annualised,days
1 year,0.064668,,yes,365
3 years,0.069298,,yes,1096
5 years,0.063425,,yes,1825
Since 01 Jan 2013,0.068298,,yes,5015
