# View: fund_header
# Question: What is this fund, and how has it done?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:49.824467+00:00
key,label,value
return_1y,"Return, 1 year",0.039840
return_3y,"Return, 3 years",0.070904
return_5y,"Return, 5 years",0.065754
rank_3y,"Category rank, 3 years",18th of 22
worst_fall,Worst fall,-0.172851
volatility,Volatility,0.023308
fund_size,Fund size,3919113000.00
ter,Expense ratio,0.6600
