# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 31 Aug 2026 (26 days old)
# Coverage: — of portfolio value | Unresolved: 22.4% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 22.4% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
#   - This portfolio comes from Groww's page for the fund, an aggregator, not from the fund house's own file. The page carries no ISINs, so more of it is unresolved than the fund house's file would leave.
#   - Sectors are as the fund house labels them; two fund houses may name the same sector differently.
# Generated: 2026-09-26T10:33:27.920027+00:00
holding,kind,weight_pct
Unresolved Holdings,Shares,22.361261
Units of Other Schemes,Other funds,13.161386
ICICI Bank Ltd.,Shares,4.080928
TREPS / Repo / Reverse Repo,Cash and equivalents,3.687877
AXIS Bank Ltd.,Shares,2.852403
Government Securities,Bonds and other debt,2.346039
Reliance Industries Ltd,Shares,1.939592
Bharti Airtel  Ltd.,Shares,1.784033
Infosys Ltd,Shares,1.768889
Meesho Limited,Shares,1.686575
Margin / Deposits,Cash and equivalents,1.614554
SEDEMAC MECHATRONICS LIMITED,Shares,1.593116
Sansera Engineering Limited,Shares,1.504731
HDFC Bank Ltd.,Shares,1.466020
Hindustan Unilever Ltd.,Shares,1.372283
Thermax Ltd.,Shares,1.312061
COFORGE LIMITED,Shares,1.262513
Torrent Pharmaceuticals Ltd.,Shares,1.244396
S.V.J.ENTERPRISES LIMITED,Shares,1.228478
PB Fintech Limited,Shares,1.202382
Larsen & Toubro Limited,Shares,1.136620
Bajaj Finance Limited,Shares,1.134254
Sona BLW Precision Forgings Limited,Shares,1.117891
Avenue Supermarts Limited,Shares,1.116779
Hindalco Industries Ltd.,Shares,1.085258
State Bank Of India,Shares,1.069818
Nexus Select Trust,"REITs, InvITs and other",1.037426
Varun Beverages Limited,Shares,1.016665
EMBASSY OFFICE PARKS REIT,"REITs, InvITs and other",1.004300
Derivative Positions,Derivatives,0.980574
Mahindra & Mahindra Ltd.,Shares,0.973533
Hindustan Petroleum Corporation Ltd,Shares,0.943331
SWIGGY LIMITED,Shares,0.930239
Billionbrains Garage Ventures Limited,Shares,0.856032
Adani Ports and Special Economic Zone Ltd,Shares,0.824528
Adani Enterprises Ltd.,Shares,0.821839
Mankind Pharma Limited,Shares,0.770890
HDFC LIFE INSURANCE COMPANY LIMITED,Shares,0.730129
Brookfield India Real Estate Trust,"REITs, InvITs and other",0.727547
HDB FINANCIAL SERVICES LIMITED,Shares,0.722161
UltraTech Cement Ltd,Shares,0.709993
Ipca Laboratories Ltd.,Shares,0.681595
Karur Vysya Bank Ltd.,Shares,0.678816
Bajaj Auto Limited,Shares,0.671829
Craftsman Automation Limited,Shares,0.625162
TATA STEEL LIMITED,Shares,0.622628
SRF Ltd.,Shares,0.604961
Star Health and Allied Insurance Company Limited,Shares,0.604019
United Spirits Limited,Shares,0.598910
Bajaj Finserv Limited,Shares,0.590608
Sun Pharmaceutical Industries Ltd.,Shares,0.579688
Brigade Enterprises Limited,Shares,0.574788
Vishal Mega Mart Limited,Shares,0.557835
ICICI Lombard General Insurance Company Limited,Shares,0.528789
Max Financial Services Limited,Shares,0.466170
Indian Hotels Co. Ltd,Shares,0.428122
ICICI Prudential Asset Management Company Limited,Shares,0.425582
City Union Bank Ltd,Shares,0.413817
SHRIRAM PISTONS & RINGS LTD,Shares,0.412301
Godrej Consumer Products Ltd.,Shares,0.412054
ITC Ltd,Shares,0.394106
Oil And Natural Gas Corporation Ltd,Shares,0.311060
Container Corporation Of India Ltd.,Shares,0.274592
MINDSPACE BUSINESS PARKS REIT,"REITs, InvITs and other",0.231263
Knowledge Realty Trust,"REITs, InvITs and other",0.225603
PITTI ENGINEERING LIMITED,Shares,0.155086
Go Digit General Insurance Limited,Shares,0.042557
Net Receivables / Payables,Cash and equivalents,-1.291265
