# View: fund_header
# Question: What is this fund, and how has it done?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:36.684456+00:00
key,label,value
return_1y,"Return, 1 year",0.052751
return_3y,"Return, 3 years",0.132235
return_5y,"Return, 5 years",0.154685
rank_3y,"Category rank, 3 years",16th of 23
worst_fall,Worst fall,-0.499177
volatility,Volatility,0.163170
fund_size,Fund size,137044803000.00
ter,Expense ratio,1.0600
