# View: fund_xray_header
# Question: How has this fund done, and against what?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:33.228296+00:00
window_key,obs_days,return_ann,return_cum,volatility_ann,max_dd,confidence,sharpe,sortino,risk_free_pct,bench_return_ann,beta,tracking_error,alpha_ann,up_capture,down_capture,interpolated_pct
1y,365,-0.040426,-0.040426,0.132605,-0.152761,medium,-0.717733,-0.977889,5.4749,,,,,,,0.000000
3y,1096,0.117566,0.396213,0.133748,-0.172324,high,0.366495,0.513149,6.8548,,,,,,,0.000000
5y,1824,0.103845,0.638414,0.135419,-0.172619,high,0.519912,0.718436,3.3439,,,,,,,0.000000
since_first_nav,5014,0.131356,4.448723,0.152778,-0.366760,high,0.329458,0.451515,8.1022,,,,,,,0.000000
