# View: fund_peers
# Question: How does it compare with funds that do the same job?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - AMFI's older heading, which its newer one splits into sectoral and thematic funds; which of the two each fund here became is not recorded, so they are compared only with each other.
#   - This fund has less than three years of prices, so it is not in the picture of its category.
#   - Rank 1 is the highest return, the lowest volatility, the smallest fall, the highest return for the risk and the lowest expense ratio.
#   - Ranks compare the funds open today; funds that closed or merged are not included, which tends to flatter the category's middle.
# Generated: 2026-09-26T10:33:44.379052+00:00
fund,return_3y,volatility_3y
HDFC Transportation and Logistics Fund,0.254368,0.169988
UTI - Healthcare Fund,0.249252,0.134165
SBI HEALTHCARE OPPORTUNITIES FUND,0.249149,0.128835
Franklin Asian Equity Fund,0.245869,0.167349
LIC MF Infrastructure Fund,0.243360,0.198913
LIC MF Healthcare Fund,0.235706,0.140122
BANK OF INDIA MANUFACTURING & INFRASTRUCTURE FUND,0.227917,0.172639
Aditya Birla Sun Life International Equity Fund,0.226048,0.126202
ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND,0.223178,0.172301
Aditya Birla Sun Life Pharma and Healthcare Fund,0.222430,0.128511
quant BFSI Fund,0.221526,0.190526
quant Healthcare Fund,0.220444,0.173515
Aditya Birla Sun Life Manufacturing Equity Fund,0.217155,0.158736
Franklin India Opportunities Fund,0.214687,0.150478
ITI Pharma and Healthcare Fund,0.213123,0.141841
Kotak Manufacture in India Fund,0.211308,0.159179
Kotak Pioneer Fund,0.211187,0.129270
Tata India Pharma & Healthcare Fund,0.205912,0.131934
ICICI PRUDENTIAL PSU EQUITY FUND,0.202231,0.183238
ICICI Prudential Manufacturing Fund,0.199433,0.158663
SBI PSU FUND,0.194688,0.205936
Union Innovation & Opportunities Fund,0.193909,0.178209
Aditya Birla Sun Life Special Opportunities Fund,0.189588,0.141570
ICICI Prudential Innovation Fund,0.189368,0.125593
