# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 31 Aug 2026 (26 days old)
# Coverage: — of portfolio value | Unresolved: 20.0% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 20.0% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
#   - This portfolio comes from Groww's page for the fund, an aggregator, not from the fund house's own file. The page carries no ISINs, so more of it is unresolved than the fund house's file would leave.
#   - Sectors are as the fund house labels them; two fund houses may name the same sector differently.
# Generated: 2026-09-26T10:33:30.169770+00:00
holding,kind,weight_pct
State Bank Of India,Shares,20.971539
Unresolved Holdings,Shares,19.984887
Bharat Heavy Electricals Ltd.,Shares,6.776392
POWER GRID CORPORATION OF INDIA LIMITED,Shares,6.132842
Bharat Electronics Ltd.,Shares,4.875251
Bank of India,Shares,4.269540
Gail (India) Ltd.,Shares,3.826638
PNB Housing Finance Limited,Shares,3.702172
LIFE INSURANCE CORPORATION OF INDIA,Shares,3.507426
Oil And Natural Gas Corporation Ltd,Shares,3.005364
Hindustan Aeronautics Limited,Shares,2.637994
Coal India Limited,Shares,2.436221
Bank Of Baroda,Shares,2.308463
Hindustan Petroleum Corporation Ltd,Shares,2.041877
TREPS / Repo / Reverse Repo,Cash and equivalents,1.840573
Indian Oil Corporation Ltd.,Shares,1.755209
SBI Life Insurance Company Limited,Shares,1.740900
Oil India Limited,Shares,1.537466
Mahanagar Gas Limited,Shares,1.245011
National Aluminium Co. Ltd.,Shares,1.106131
Derivative Positions,Derivatives,0.969930
Margin / Deposits,Cash and equivalents,0.905713
Power Finance Corporation Ltd,Shares,0.799949
Canara Robeco Asset Management Company Limited,Shares,0.709894
Steel Authority of India Ltd.,Shares,0.690188
Container Corporation Of India Ltd.,Shares,0.492431
Indian Railway Catering & Tourism Corporation Ltd,Shares,0.372146
Gujarat Gas Limited,Shares,0.250306
Net Receivables / Payables,Cash and equivalents,-0.892453
