# View: fund_xray_header
# Question: How has this fund done, and against what?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:31.931170+00:00
window_key,obs_days,return_ann,return_cum,volatility_ann,max_dd,confidence,sharpe,sortino,risk_free_pct,bench_return_ann,beta,tracking_error,alpha_ann,up_capture,down_capture,interpolated_pct
1y,365,0.029941,0.029941,0.125972,-0.107764,medium,-0.196933,-0.275284,5.4749,,,,,,,0.000000
3y,1096,0.126654,0.430584,0.117205,-0.145864,high,0.495764,0.688672,6.8548,,,,,,,0.000000
5y,1824,0.118289,0.748386,0.110698,-0.145864,high,0.766500,1.059261,3.3439,,,,,,,0.000000
since_first_nav,4340,0.129251,3.243263,0.121566,-0.321443,high,0.379555,0.518077,8.311,,,,,,,0.000000
