# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 15 Sep 2026 (11 days old)
# Coverage: — of portfolio value | Unresolved: 47.2% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 47.2% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
#   - Sectors are as the fund house labels them; two fund houses may name the same sector differently.
# Generated: 2026-09-26T10:35:34.149281+00:00
holding,kind,weight_pct
Unresolved Holdings,Bonds and other debt,47.154629
TREPS / Repo / Reverse Repo,Cash and equivalents,7.958967
Vedanta Ltd.,Bonds and other debt,6.523229
MUTHOOT FINANCE LIMITED,Bonds and other debt,6.437635
ADITYA BIRLA REAL ESTATE LIMITED,Bonds and other debt,5.804438
Aadhar Housing Finance Limited,Bonds and other debt,5.185050
AU Small Finance Bank Limited,Bonds and other debt,3.895879
MAS Financial Services Limited,Bonds and other debt,3.195529
REC LIMITED,Bonds and other debt,3.189473
EMBASSY OFFICE PARKS REIT,Shares,3.177204
Government Securities,Bonds and other debt,3.138781
Net Receivables / Payables,Cash and equivalents,2.144338
Brookfield India Real Estate Trust,Shares,1.647660
Units of Other Schemes,"REITs, InvITs and other",0.547188
Yes Bank Ltd.,Bonds and other debt,0.000000
