# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 31 Aug 2026 (26 days old)
# Coverage: — of portfolio value | Unresolved: 12.6% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 12.6% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
#   - This portfolio comes from Groww's page for the fund, an aggregator, not from the fund house's own file. The page carries no ISINs, so more of it is unresolved than the fund house's file would leave.
#   - Sectors are as the fund house labels them; two fund houses may name the same sector differently.
# Generated: 2026-09-26T10:33:43.400841+00:00
holding,kind,weight_pct
Unresolved Holdings,Shares,12.610457
Cash & Bank Balance,Cash and equivalents,7.431625
Krishna Institute of Medical Sciences Limited,Shares,2.433784
Torrent Pharmaceuticals Ltd.,Shares,2.393274
CCL Products (India) Ltd.,Shares,2.310135
City Union Bank Ltd,Shares,1.914500
Sai Life Sciences Limited,Shares,1.750428
Brigade Enterprises Limited,Shares,1.711416
Sansera Engineering Limited,Shares,1.659161
Avalon Technologies Limited,Shares,1.523163
Navin Fluorine International Limited,Shares,1.441805
Craftsman Automation Limited,Shares,1.397452
Karur Vysya Bank Ltd.,Shares,1.341049
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,Shares,1.307727
Welspun Corp Limited,Shares,1.298315
PNB Housing Finance Limited,Shares,1.235778
HDFC Bank Ltd.,Shares,1.231306
Multi Commodity Exchange of India Ltd,Shares,1.166568
Kirloskar Oil Engines Limited,Shares,1.149607
Syrma SGS Technology Limited,Shares,1.137083
Blue Star Ltd,Shares,1.130321
TBO TEK LIMITED,Shares,1.109214
S.V.J.ENTERPRISES LIMITED,Shares,1.089939
Fine Organic Industries Limited,Shares,1.064260
PB Fintech Limited,Shares,1.059368
The Phoenix Mills Ltd.,Shares,1.015674
Narayana Hrudayalaya Limited,Shares,1.009008
Galaxy Surfactants Limited,Shares,1.008463
Vijaya Diagnostic Centre Limited,Shares,0.995389
RBL Bank Limited,Shares,0.946029
Vesuvius India Ltd.,Shares,0.894907
R R KABEL LIMITED,Shares,0.876567
Gland Pharma Limited,Shares,0.873071
Can Fin Homes Ltd.,Shares,0.872376
Ujjivan Small Finance Bank Limited,Shares,0.847554
Derivative Positions,Derivatives,0.845605
DOMS Industries Limited,Shares,0.837402
RateGain Travel Technologies Limited,Shares,0.823794
Data Patterns (India) Limited,Shares,0.799339
Happy Forgings Limited,Shares,0.786227
Sudeep Pharma Limited,Shares,0.770110
HealthCare Global Enterprises Limited,Shares,0.763249
KFin Technologies Limited,Shares,0.744133
Bank of India,Shares,0.738318
CreditAccess Grameen Ltd.,Shares,0.738225
Mrs. Bectors Food Specialities Limited,Shares,0.729512
JK Lakshmi Cement Limited,Shares,0.726039
