slug,isin,as_of,checked,benchmark
altiva-equity-ex-top-100-long-short-fund-direct-growth,,,2026-09-26,
angel-one-gold-etf-fof-direct-growth,INF1J2R01098,2026-08-31,2026-09-26,
angel-one-nifty-50-index-fund-direct-growth,INF1J2R01072,2026-08-31,2026-09-26,
angel-one-nifty-total-market-index-fund-direct-growth,INF1J2R01023,2026-08-31,2026-09-26,
angel-one-nifty-total-market-momentum-quality-50-index-fund-direct-growth,INF1J2R01122,2026-08-31,2026-09-26,
angel-one-silver-etf-fof-direct-growth,INF1J2R01155,2026-08-31,2026-09-26,
apex-equity-ex-top-100-long-short-fund-direct-growth,,,2026-09-26,
apex-equity-long-short-fund-direct-growth,,,2026-09-26,
apex-hybrid-long-short-fund-direct-growth,,,2026-09-26,
arthaya-equity-long-short-fund-direct-growth,,,2026-09-26,
arudha-equity-long-short-fund-direct-growth,,,2026-09-26,
arudha-hybrid-long-short-fund-direct-growth,,,2026-09-26,
ask-liquid-fund-direct-growth,,,2026-09-26,
axis-aggressive-hybrid-fund-direct-growth,INF846K01E25,2026-08-31,2026-09-26,
axis-balanced-advantage-fund-direct-growth,INF846K01A29,2026-08-31,2026-09-26,
axis-banking-and-psu-debt-direct-growth,INF846K01CR6,2026-08-31,2026-09-26,
axis-bse-india-sector-leaders-index-fund-direct-growth,INF846KA1424,2026-08-31,2026-09-26,
axis-bse-sensex-index-fund-direct-growth,INF846K012V6,2026-08-31,2026-09-26,
axis-business-cycles-fund-direct-growth,INF846K016N4,2026-08-31,2026-09-26,
axis-conservative-hybrid-fund-direct-growth,INF846K01EA8,2026-08-31,2026-09-26,
axis-consumption-fund-direct-growth,INF846K013X0,2026-08-31,2026-09-26,
axis-corporate-bond-fund-direct-growth,INF846K01ZM8,2026-08-31,2026-09-26,
axis-crisil-ibx-aaa-bond-nbfc-jun-2027-index-fund-direct-growth,INF846K017X1,2026-08-31,2026-09-26,
axis-crisil-ibx-financial-services-3-6-months-debt-index-fund-direct-growth,INF846KA1226,2026-08-31,2026-09-26,
axis-crisil-ibx-sdl-may-2027-index-fund-direct-growth,INF846K017G6,2026-08-31,2026-09-26,
axis-dynamic-term-fund-direct-growth,INF846K01DI3,2026-08-31,2026-09-26,
axis-elss-tax-saver-direct-growth,INF846K01EW2,2026-08-31,2026-09-26,
axis-enhanced-arbitrage-fund-direct-growth,INF846K01PZ1,2026-08-31,2026-09-26,NIFTY 50 Arbitrage Total Return Index
axis-equity-savings-fund-direct-growth,INF846K01VJ3,2026-08-31,2026-09-26,NIFTY Equity Savings Total Return Index
axis-esg-integration-strategy-fund-direct-growth,INF846K01W23,2026-08-31,2026-09-26,NIFTY 100 ESG Total Return Index
axis-fixed-i-come-opportunities-fund-direct-growth,INF846K01PJ5,2026-08-31,2026-09-26,CRISIL Credit Risk Debt B-II Index
axis-flexi-cap-fund-direct-growth,INF846K01B28,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
