# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 15 Sep 2026 (11 days old)
# Coverage: — of portfolio value | Unresolved: 61.9% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 61.9% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
# Generated: 2026-09-26T10:35:35.774565+00:00
holding,kind,weight_pct
Unresolved Holdings,Bonds and other debt,61.926505
Power Finance Corporation Ltd,Bonds and other debt,8.961965
EMBASSY OFFICE PARKS REIT,Bonds and other debt,7.179153
MUTHOOT FINANCE LIMITED,Bonds and other debt,5.280785
REC LIMITED,Bonds and other debt,5.233238
Bajaj Housing Finance Limited,Bonds and other debt,2.110384
HDFC Bank Ltd.,Bonds and other debt,1.532623
Lic Housing Finance Ltd.,Bonds and other debt,1.504071
Bajaj Finance Limited,Bonds and other debt,1.491484
Vedanta Ltd.,Bonds and other debt,1.370058
Knowledge Realty Trust,Bonds and other debt,0.900490
Mahindra & Mahindra Financial Services Limited,Bonds and other debt,0.755911
L&T Finance Limited,Bonds and other debt,0.748354
Units of Other Schemes,"REITs, InvITs and other",0.480182
Government Securities,Bonds and other debt,0.270948
Net Receivables / Payables,Cash and equivalents,0.193492
TREPS / Repo / Reverse Repo,Cash and equivalents,0.060357
