# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 31 Aug 2026 (26 days old)
# Coverage: — of portfolio value | Unresolved: 18.3% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 18.3% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
#   - This portfolio comes from Groww's page for the fund, an aggregator, not from the fund house's own file. The page carries no ISINs, so more of it is unresolved than the fund house's file would leave.
#   - Sectors are as the fund house labels them; two fund houses may name the same sector differently.
# Generated: 2026-09-26T10:33:40.067757+00:00
holding,kind,weight_pct
Unresolved Holdings,Shares,18.308296
Derivative Positions,Derivatives,7.169573
P N GADGIL JEWELLERS LIMITED,Shares,4.510601
RBL Bank Limited,Shares,4.365694
Navin Fluorine International Limited,Shares,4.200225
Laurus Labs Limited,Shares,4.198190
Sai Life Sciences Limited,Shares,3.573259
Federal Bank Ltd.,Shares,3.492717
Craftsman Automation Limited,Shares,3.191511
BSE Ltd.,Shares,2.910140
R R KABEL LIMITED,Shares,2.867415
Cummins India Ltd.,Shares,2.777049
Ather Energy Limited,Shares,2.614778
Karur Vysya Bank Ltd.,Shares,2.363619
State Bank Of India,Shares,2.306501
Max Healthcare Institute Limited,Shares,2.226611
CG Power and Industrial Solutions Limited,Shares,2.192481
Fortis Healthcare Ltd,Shares,2.170700
Cash & Bank Balance,Cash and equivalents,2.092127
Billionbrains Garage Ventures Limited,Shares,2.089559
Bharat Forge Ltd,Shares,2.061065
Syrma SGS Technology Limited,Shares,1.954270
KEI Industries Ltd.,Shares,1.873586
Welspun Corp Limited,Shares,1.820939
Government Securities,Bonds and other debt,1.618000
ICICI Bank Ltd.,Shares,1.581911
L&T Finance Limited,Shares,1.396956
Reliance Industries Ltd,Shares,1.389340
Ashok Leyland Ltd.,Shares,1.337640
Bharti Airtel  Ltd.,Shares,1.276887
Cholamandalam Investment and Finance Company Ltd,Shares,1.212480
Kirloskar Oil Engines Limited,Shares,1.142044
Siemens Ltd.,Shares,1.096132
Polycab India Limited,Shares,1.027590
Sobha Limited,Shares,0.865231
Prestige Estates Projects Limited,Shares,0.799496
Thyrocare Technologies Limited,Shares,0.789215
FSN E-Commerce Ventures Limited,Shares,0.570456
Glenmark Pharmaceuticals ltd,Shares,0.539634
ABB India Limited,Shares,0.498628
Metropolis Healthcare Limited,Shares,0.442359
Net Receivables / Payables,Cash and equivalents,-4.914905
