# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 31 Aug 2026 (26 days old)
# Coverage: — of portfolio value | Unresolved: 9.9% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 9.9% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
#   - This portfolio comes from Groww's page for the fund, an aggregator, not from the fund house's own file. The page carries no ISINs, so more of it is unresolved than the fund house's file would leave.
#   - Sectors are as the fund house labels them; two fund houses may name the same sector differently.
# Generated: 2026-09-26T10:33:41.304001+00:00
holding,kind,weight_pct
HDFC Bank Ltd.,Shares,17.005494
ICICI Bank Ltd.,Shares,14.839003
State Bank Of India,Shares,10.258998
Unresolved Holdings,Shares,9.869112
AXIS Bank Ltd.,Shares,9.185848
Federal Bank Ltd.,Shares,7.141810
IndusInd Bank Ltd.,Shares,5.439296
AU Small Finance Bank Limited,Shares,4.817096
IDFC FIRST BANK LIMITED,Shares,4.671737
Bank Of Baroda,Shares,3.472443
Punjab National Bank,Shares,3.369313
Yes Bank Ltd.,Shares,3.329852
Canara Bank,Shares,3.322199
Bank of India,Shares,3.165007
Cash & Bank Balance,Cash and equivalents,0.095368
Net Receivables / Payables,Cash and equivalents,0.017424
