# View: fund_xray_header
# Question: How has this fund done, and against what?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:43.654382+00:00
window_key,obs_days,return_ann,return_cum,volatility_ann,max_dd,confidence,sharpe,sortino,risk_free_pct,bench_return_ann,beta,tracking_error,alpha_ann,up_capture,down_capture,interpolated_pct
1y,365,0.044882,0.044882,0.027154,-0.021504,medium,-0.363372,-0.552247,5.4749,,,,,,,0.000000
3y,1096,0.066080,0.211842,0.023711,-0.025899,high,-0.104087,-0.158683,6.8548,,,,,,,0.000000
5y,1824,0.058672,0.329658,0.020915,-0.025899,high,1.206455,1.857006,3.3439,,,,,,,0.000000
since_first_nav,5015,0.074600,1.687330,0.034052,-0.074947,high,-0.213115,-0.349600,8.1857,,,,,,,0.000000
