# View: fund_xray_header
# Question: How has this fund done, and against what?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:29.348314+00:00
window_key,obs_days,return_ann,return_cum,volatility_ann,max_dd,confidence,sharpe,sortino,risk_free_pct,bench_return_ann,beta,tracking_error,alpha_ann,up_capture,down_capture,interpolated_pct
1y,365,0.036692,0.036692,0.014945,-0.010498,medium,-1.208230,-1.864430,5.4749,,,,,,,0.000000
3y,1096,0.066855,0.214488,0.018109,-0.011641,high,-0.093489,-0.155079,6.8548,,,,,,,0.000000
5y,1824,0.059923,0.337525,0.015668,-0.011641,high,1.690324,2.892214,3.3439,,,,,,,0.000000
since_first_nav,5013,0.072973,1.630959,0.013630,-0.030028,high,-0.590536,-1.090503,8.1022,,,,,,,0.000000
