# View: fund_xray_header
# Question: How has this fund done, and against what?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:30.158748+00:00
window_key,obs_days,return_ann,return_cum,volatility_ann,max_dd,confidence,sharpe,sortino,risk_free_pct,bench_return_ann,beta,tracking_error,alpha_ann,up_capture,down_capture,interpolated_pct
1y,365,0.014492,0.014492,0.169205,-0.182101,medium,-0.237919,-0.337169,5.4749,,,,,,,0.000000
3y,1096,0.122099,0.413286,0.165462,-0.194981,high,0.323645,0.445820,6.8548,,,,,,,0.000000
5y,1824,0.123060,0.785981,0.161852,-0.196461,high,0.553722,0.763271,3.3439,,,,,,,0.000000
since_first_nav,5014,0.139475,5.011066,0.192022,-0.373748,high,0.304408,0.421858,8.1022,,,,,,,0.000000
