# View: fund_portfolio
# Question: What does this fund own?
# As of: 2026-09-26
# Data as of: 15 Sep 2026 (11 days old)
# Coverage: — of portfolio value | Unresolved: 44.2% | Confidence: medium
# Source modules: m3, m0
# Notes:
#   - 44.2% of this fund's portfolio could not be identified to a company; it is shown as a separate block.
# Generated: 2026-09-26T10:35:39.010866+00:00
holding,kind,weight_pct
Unresolved Holdings,Bonds and other debt,44.185487
Government Securities,Bonds and other debt,31.037557
TREPS / Repo / Reverse Repo,Cash and equivalents,9.321321
Power Finance Corporation Ltd,Bonds and other debt,8.978825
REC LIMITED,Bonds and other debt,1.625203
Net Receivables / Payables,Cash and equivalents,1.584670
Lic Housing Finance Ltd.,Bonds and other debt,1.514433
Mahindra & Mahindra Financial Services Limited,Bonds and other debt,1.402465
Units of Other Schemes,"REITs, InvITs and other",0.350039
